query	url	companies
"株式会社"　USBメモリ	https://www.amphenol.co.jp/military/products/USB3FTVMemoryKeys.html	['アンフェノールジャパン株式会社']
"株式会社"　USBメモリ	https://www.victor.jp/audio/lineup/usb-va1/	['株式会社JVCケンウッド', '株式会社Hamaru']
"株式会社"　USBメモリ	https://www.hagisol.co.jp/products/offline/usb3.html	['NTTコミュニケーションズ株式会社', 'ハギワラソリューションズ株式会社']
"株式会社"　USBメモリ	https://www.safety-disclosure.jp/	['イーディーコントライブ株式会社']
"株式会社"　USBメモリ	https://www.a-answer.co.jp/products/wiiu/ans-usb16gb/	['アンサー株式会社']
"株式会社"　USBメモリ	https://www.accendo.co.jp/products/detail360.html	['株式会社アチェンド']
"株式会社"　USBメモリ	https://www.ohm-electric.co.jp/product/c13/c1303/11602/	['株式会社オーム電機']
"株式会社"　USBメモリ	https://www.elecom.co.jp/category/cat_data-media-usb-flash-business/	['エレコム株式会社']
"株式会社"　USBメモリ	http://www.faq.energy-innovation.omron.co.jp/faq/show/9107?category_id=1&return_path=%2Fcategory%2Fsearch%3Fkeyword%3D%25E5%2587%25BA%25E5%258A%259B%25E5%2588%25B6%25E5%25BE%25A1%25E5%25AF%25BE%25E5%25BF%259C%26page%3D1%26site_domain%3Ddefault%26site_id%3D1%26sort%3Dsort_keyword%26sort_order%3Ddesc&site_domain=default	['北大阪急行電鉄株式会社', '株式会社南信精機製作所', 'ヒカワ石油株式会社', 'オムロンソーシアルソリューションズ株式会社']
"株式会社"　USBメモリ	https://kakaku.com/pc/usb-memory/guide_0526/	['株式会社磁気研究所', '東芝メモリ株式会社']
"株式会社"　USBメモリ	https://weeds-japan.co.jp/column/20231102_31/	['ウイーズ・システムズ株式会社']
"株式会社"　USBメモリ	https://www.ryoyo.co.jp/product/semiconductor/memory/hagiwara-03/	['菱洋エレクトロ株式会社']
"株式会社"　USBメモリ	https://www.green-house.co.jp/news/2023/2023-r0413a/	['株式会社グリーンハウス']
"株式会社"　USBメモリ	https://www.shodensha-inc.co.jp/ja/grav-1/	['株式会社松電']
"株式会社"　USBメモリ	https://www.princeton.co.jp/product/flashmemory/pfuxlk.html	['株式会社プリンストン']
"株式会社"　USBメモリ	https://www.princeton.co.jp/product/flashmemory.html	['株式会社プリンストン']
"株式会社"　USBメモリ	https://www.biprogy.com/com/info_security/info202206.html	['BIPROGY株式会社']
"株式会社"　USBメモリ	https://www.century.co.jp/products/pc/otherpc/usb/	['株式会社センチュリー']
"株式会社"　USBメモリ	https://wowma.jp/item/400073557	['翼通商株式会社']
"株式会社"　USBメモリ	http://www.rijapan.co.jp/product/flash/usb.html	['アールアイジャパン株式会社']
"株式会社"　USBメモリ	https://www.momt.co.jp/news/20231215.html	['株式会社エム・オー・エム・テクノロジー']
"株式会社"　USBメモリ	https://sciencepark.co.jp/information_security/noncopy-for-usb/	['サイエンスパーク株式会社']
"株式会社"　USBメモリ	https://www.itgm.co.jp/product/usb-memory/	['ITGマーケティング株式会社']
"株式会社"　USBメモリ	https://www.max-ltd.co.jp/product/op/time_recorder/recorder/ER90168.html	['マックス株式会社']
"株式会社"　USBメモリ	https://www3.jvckenwood.com/support/info/usb/	['日本ビクター株式会社', '株式会社JVCケンウッド']
"株式会社"　USBメモリ	https://www.century.co.jp/products/pc/usbmemory/	['株式会社センチュリー']
"株式会社"　USBメモリ	https://www.ask-corp.jp/guide/apricorn-aegis-secure-key.html	['株式会社アスク']
"株式会社"　USBメモリ	https://pr.fujitsu.com/jp/news/2009/04/17-1.html	['富士通株式会社', '株式会社富士通研究所']
